time,intensity_800,intensity_1200,intensity_1400
33.32,1.5,3.1125,2.6875
33.36,0.75,4.334375,3.421875
33.4,1.125,5.646875,4.734375
33.44,1.0875,2.7375,4.0625
33.48,3.909375,2.2375,2.6875
33.52,6.346875,2.625,3.625
33.56,3.2125,2,3.125
33.6,1.3375,3.125,2.875
33.64,1.25,2.25,2.125
33.68,1.125,2.25,2
33.72,0.625,1.875,2.75
33.76,0.125,3,3.125
33.8,0.875,1.5,2.875
33.84,0.75,2.75,2.5
33.88,0.25,1.5,2.875
33.92,0.25,1.625,2.125
33.96,0.625,2.125,3.875
34,1.125,3.125,2.625
34.04,1.25,1.625,2.375
34.08,0.875,2.25,3.625
34.12,0.625,2.875,2.625
34.16,0.5,3.75,2.375
34.2,0.375,2.125,2
34.24,0.875,2.375,2
34.28,0.5,2.75,3
34.32,0.75,2.125,2.875
34.36,1,2.375,2.5
34.4,0.375,2.25,2.875
34.44,0.75,1.5,3.25
34.48,0.375,2.75,2.875
34.52,0.5,2.625,3.625
34.56,0.875,1.625,2.625
34.6,1.25,2.71875,2.34375
34.64,0.75,4.171875,3.234375
34.68,1.375,3.746875,5.109375
34.72,2.09375,2.6,2.875
34.76,5.546875,3.125,3
34.8,3.896875,3.125,3.625
34.84,1.55,2,2.375
34.88,0.625,2.5,1.625
34.92,0.625,1.625,3.375
34.96,1,2.125,2.875
35,0.5,3.125,2.75
35.04,1.125,2.625,3.125
35.08,1,2,2.125
35.12,1.375,2.125,2.375
35.16,0.5,2.5,2.875
35.2,0.625,2,2.125
