time,intensity_400,intensity_600,intensity_800
3.83,0,0,0.375
3.835,0,0,0.25
3.84,0,0,0.25
3.845,0,0.216625,0.125
3.85,0,8.033375,0.25
3.855,0,7.095875,0.125
3.86,0,0.179125,0.25
3.865,0,0.125,0.125
3.87,0.125,0,0.125
3.875,0,0.125,0
3.88,0.125,0.375,0
3.885,0.25,0.25,0.125
3.89,0,0.125,0
3.895,0,0,0.125
3.9,0,0,0.25
3.905,0,0,0
3.91,0.875,0.25,0.125
3.915,20.375,0.25,0.125
3.92,11.375,0,0
3.925,0.125,0,0.5
3.93,0.25,0.125,0.5
3.935,0.125,0.125,0.125
3.94,0.125,0.125,0.125
3.945,0,0.375,0
3.95,0,0,0.25
3.955,0,0.25,0.125
3.96,0,0.25,0.375
3.965,0,0,0.5
3.97,0,0.125,0
3.975,0,0.125,0.29325
3.98,0,0.25,5.783375
3.985,0,0.25,8.602625
3.99,0,0,0.297875
3.995,0.25,0,0
4,0,0,0.25
4.005,0,0.375,0.375
4.01,0,0.125,0.25
4.015,0,2.925,0.125
4.02,0,12.870875,0.25
4.025,0,0.558375,0.125
4.03,0,0.125,0
4.035,0,0.125,0.125
4.04,0,0.25,0.125
4.045,0,0.125,0.125
4.05,0,0.125,0.5
4.055,0.25,0.125,0.125
4.06,0,0.125,0
4.065,0,0.125,0.375
4.07,0,0,0.125
4.075,0,0.375,0
4.08,11.75,0.125,0.625
4.085,23.5,0,0
4.09,0.75,0.125,0.25
4.095,0.125,0.25,0
4.1,0,0.125,0.25
4.105,0,0.125,0.125
4.11,0.125,0,0.125
4.115,0,0.25,0.125
4.12,0,0,0.375
4.125,0,0.125,0
4.13,0.125,0,0.375
4.135,0,0,0
4.14,0.25,0,0
4.145,0.125,0.25,1.7245
4.15,0,0,10.93225
4.155,0.125,0.125,1.28275
4.16,0,0,0
4.165,0,0.125,0.125
4.17,0.125,0.125,0.25
4.175,0.125,0.125,0.5
4.18,0,0.829125,0.5
4.185,0,11.120875,0.25
4.19,0.125,3.483375,0.375
4.195,0.125,0,0.125
4.2,0,0,0.125
4.205,0,0.125,0
4.21,0,0,0.125
4.215,0,0.375,0.25
4.22,0.125,0,0.25
4.225,0,0,0.125
4.23,0,0.125,0.5
4.235,0,0,0.25
4.24,0.125,0.125,0.5
4.245,2.75,0,0
4.25,29.5,0,0.125
4.255,4.625,0,0.125
4.26,0,0,0
4.265,0,0,0.125
4.27,0,0,0.125
4.275,0,0.25,0.25
4.28,0,0,0.25
4.285,0,0,0
4.29,0,0.125,0
4.295,0,0,0.125
4.3,0.25,0.125,0.125
4.305,0,0.375,0
4.31,0,0,0.345875
4.315,0.125,0,8.2135
4.32,0,0.125,3.746875
4.325,0.125,0.125,0.25
4.33,0,0,0
4.335,0.125,0.375,0
4.34,0,0,0.75
4.345,0,0.179125,0
4.35,0.125,7.058375,0.125
4.355,0,11.154125,0.125
4.36,0,0.341625,0.125
4.365,0,0.25,0.5
4.37,0,0,0.125
4.375,0.125,0,0
4.38,0.125,0.25,0
4.385,0,0,0
4.39,0.125,0,0
4.395,0,0.25,0.125
4.4,0,0.125,0.125
4.405,0,0.125,0.375
4.41,0.375,0.125,0
4.415,21.625,0,0.125
4.42,14.75,0,0
4.425,0.125,0,0.25
